,BTG2,CSF3R,CSN3,CXCR1,CXCR2,EGR1,FFAR2,FOXF1,FPR1,FPR2,GLE1,IL1B,IL1R2,IL5RA,KLF6,MXD1,NAMPT,NR4A2,NR4A3,PDK4,PER3,PRDM1,RAB8B,RGS2,S100A12,S100A8
0,6.203945562,3.471220085,2.218514624,5.135514063,5.110711666,6.268375632,2.608189002,2.642542191,6.009846002,3.67172515,3.562395937,2.74821521,4.235285644,2.665528795,4.40697918,4.854228044,5.334787806,1.782592638,1.678135926,8.649067658,2.885342321,5.112525708,5.636584044,6.86756533,7.756284766,6.136263501
0,5.087067237,1.820965833,2.271696852,1.638915248,1.752834538,8.182837282,1.526025644,2.536769557,1.80375008,1.656711725,2.9347313,1.816202491,1.772129606,2.140206892,4.485494271,3.017919573,2.257761619,2.505635081,1.808736015,5.188922901,3.42949805,2.581874579,5.15636409,3.090047401,1.043650244,1.343926461
0,4.31712062,2.281215885,2.009526804,2.942197713,2.877394871,4.255533212,1.785409097,2.623295874,2.981898988,1.681777018,2.842848428,2.518684121,1.441789893,1.89550998,3.322181776,3.469407945,2.490448337,1.894974856,1.293015176,4.538204153,2.927743464,3.508160342,5.06821799,4.39749729,3.769880987,4.137768452
0,6.23263267,3.35362738,2.016547906,5.238598827,5.028228337,8.078467238,1.781677529,4.523886084,4.952014394,3.408650263,3.350472826,3.198156674,2.451302793,1.826097725,3.543847627,4.777598068,4.79712648,4.313178937,2.477820393,5.776671122,1.923457673,4.049269876,5.740008802,7.206900541,5.293539499,5.55879739
0,6.103876488,3.089448426,2.366083519,3.232019057,3.818328872,6.11548489,1.688353221,2.696249597,4.424523661,2.539252742,3.01994181,1.972809316,3.025365344,2.237142364,4.202010741,4.352743231,4.290525212,2.309280292,2.346795645,7.808790493,2.259989215,3.697070946,5.42902936,6.120388473,4.36232355,5.061089491
0,4.874072658,2.337854206,1.700818376,3.452026338,3.64425714,5.204121288,1.663075143,3.271110149,3.465557863,2.368584088,3.367927725,2.373612927,1.666094982,1.758164437,3.420382323,3.861618359,3.272194837,1.633289201,1.696493546,6.397198282,4.38270078,2.521530761,4.944813449,6.843177039,3.397696648,4.458953173
0,4.942000659,2.400636921,1.657172271,3.10411729,3.224859642,3.182021186,1.674243506,2.271122762,3.558032684,1.983585449,2.922632083,1.618314064,2.541489623,2.410100353,4.190131447,3.611220694,3.121700065,1.256889702,2.286016441,8.029414603,3.753024102,3.98677798,4.483868109,6.696938635,3.733973762,3.700188109
0,5.428242335,3.445333704,1.919457591,4.609127234,4.857135805,6.394900092,2.284552347,2.652313146,4.689650434,2.50798877,3.312591603,2.836199019,2.3044027,2.064328665,4.251309408,4.880905778,5.043995338,3.045565478,1.839506041,6.324210512,2.458259185,2.849997721,5.267075592,8.078667768,4.836313134,4.728159697
0,5.277515091,2.438462408,1.668888081,3.55345447,3.100729195,5.083409203,2.236902425,2.671986428,2.694534753,2.250989572,3.282067772,2.575968431,1.617529612,2.40250712,3.351600642,3.707173907,2.980625867,2.403699917,1.736889157,7.369203074,3.117586525,3.530285549,5.392243054,4.521722293,4.483947948,4.173670059
0,5.663783637,3.047486713,1.755027572,3.133441308,3.877736613,6.65805749,2.073731953,3.074073517,4.883920598,1.823625095,3.430443308,2.799571055,2.648546234,1.911751564,4.196544808,4.421665128,3.866321004,2.575685796,3.658087075,7.367454864,2.176971997,2.74722506,5.576644696,6.892593014,5.728636992,5.565752806
1,3.826196492,2.325580068,1.865575323,2.155412015,2.262564459,3.454360906,1.861716888,2.164159579,2.837729915,1.974182106,2.5862176,1.367163441,1.669264212,1.742159451,3.58910778,3.26949049,2.947965409,1.081564081,1.469032455,4.731594466,3.03047062,2.698954886,5.047749561,2.878260755,2.100735636,1.581739413
1,4.563990667,2.960764424,2.155255584,3.021655913,2.629683893,5.526557456,2.345298171,3.065979342,3.538923792,3.006803798,3.44139912,2.800781126,2.223964863,2.203187487,3.819119971,4.01613001,3.07690778,2.274794032,2.558656254,4.931208778,2.978776064,3.747224201,5.638762018,5.17964804,6.538114938,5.583505469
1,4.469558589,3.441995491,1.855570807,3.01684797,2.898427168,3.99727142,1.79484056,3.159529658,3.554375785,2.813140513,3.106531586,2.161850052,2.122603291,2.456944756,3.507731671,3.753080516,3.067207911,1.963138573,1.807869461,4.769987518,1.80710535,2.853079913,5.161469025,3.273445248,2.850953561,3.895410751
1,4.51762741,2.438047557,1.856419779,2.293111657,2.569283523,4.633528417,1.99971577,2.790012275,3.178299133,2.779238698,3.18384883,2.852308765,2.066196017,2.419828234,3.687592323,4.043155928,2.203000898,1.61918149,1.836656008,4.485912736,2.595454686,3.588199527,5.002292118,3.752498446,2.474735608,2.508419957
1,3.816552436,2.340293225,1.896084716,2.394586512,2.467744291,2.721892174,2.092270496,2.730000082,2.882438947,2.040186637,3.15633364,1.409147533,1.553220123,1.958522529,3.708574986,3.761273733,2.422400423,1.528748158,1.381598033,4.903140163,3.424173671,2.840060687,5.210092782,2.222525852,2.673575973,2.345845909
1,5.344260056,2.154697084,1.839453586,2.563600779,2.477174635,4.331869055,1.93633369,2.688209513,3.032229081,1.816693734,3.047040544,1.688830932,1.432420655,1.871300602,3.804200306,3.394120441,2.33668155,1.596293575,1.586000135,4.958085875,3.696288518,2.919448041,4.76507918,4.177856638,1.967253438,1.368857244
1,4.686224528,1.878303877,1.601142676,2.644457679,2.722553985,4.370340316,1.580722932,2.903337864,2.795102128,1.748876674,3.026738733,1.882179935,1.570362649,1.833784198,3.857363875,3.540987882,3.582551209,1.778930573,1.358071715,6.199322901,4.326973743,2.673682056,4.827444257,3.752414467,1.532754182,0.895550509
1,4.870259151,1.915476876,1.608925639,2.407864272,2.314062242,6.325667379,1.645673257,2.467931548,3.336269615,1.889352437,3.101863795,3.385361626,1.534935114,1.851246199,4.468745404,3.443251147,4.118671717,3.505588007,2.57670799,7.73913642,4.039915049,2.688119832,4.837582737,5.299694121,1.874857103,1.269541472
1,5.887395379,2.260338735,2.006411574,2.607619861,2.868936744,6.884116928,1.750426994,3.331393089,3.239656715,1.918848263,2.701928544,2.804435139,2.118902467,2.084709729,4.15587341,3.630360421,2.034745444,5.575802236,2.729893404,4.927196763,2.868764339,2.706223008,5.258604229,5.31697154,4.616399908,3.363226168
1,4.136495916,1.975427536,1.68882121,1.367585493,1.66179132,3.730905059,1.577167393,2.490804153,1.885723247,1.621876733,2.721742412,2.14854677,1.377644514,1.668883582,3.780531203,2.874358077,2.636163155,1.804233165,1.766391119,3.492397274,3.746637513,2.114302061,4.631507894,3.122638297,1.734395215,1.885995182
1,4.860830991,1.882961904,1.380102303,1.30896994,1.703676421,3.87413378,1.625616309,2.393767901,1.99811731,1.428823961,3.229838324,2.04508884,1.533784487,1.777208905,3.786774513,3.18480274,2.484247239,1.931646461,2.556741953,4.503020026,4.534443331,2.318601499,4.785469749,4.039510162,1.351879331,1.372946496
1,4.498356435,1.964137837,1.337284059,1.303959439,1.648534756,2.343154121,1.590153248,2.584178348,1.960430327,1.589612445,2.982925347,1.829653401,1.008889298,1.710610294,3.13886306,2.98511752,1.990069994,1.737906265,1.788137157,3.360127701,4.238956743,2.761896136,5.369937158,3.986257826,1.566620882,2.305277644
1,4.347149473,1.707212264,1.832743323,1.585903659,1.794577317,2.32581808,1.50241312,2.549602307,1.658601022,1.54923084,2.68251782,1.407758137,1.285735706,1.798978579,3.379679921,3.002460698,2.032088979,1.548693502,1.267975101,2.951116476,3.529531606,2.097847781,4.602008332,2.589484679,1.007678108,1.219108246
1,4.906404156,2.113211816,1.708627005,1.653045996,1.973629075,1.813343476,1.611541715,2.837032584,1.474762857,1.574894683,3.003209327,1.808520289,1.020649146,2.050772729,3.54100997,3.190018069,1.962804538,1.818607766,1.46910384,4.102216647,3.837467299,2.892645371,5.170021803,4.712590458,1.539677138,3.115174038
1,4.348780512,1.865677675,1.282152689,1.669133196,1.660645473,1.840796419,1.364415364,3.059958139,1.226895722,1.707256157,2.913114648,1.585819372,1.538852422,1.668694202,3.572599014,3.199326106,1.653097666,1.805161289,1.398539803,2.871975006,3.035288213,2.698596563,5.092453234,3.481721629,1.2106401,1.98634198
1,4.017765831,1.776968616,1.596677104,1.463548362,1.417981598,2.016136408,1.292655125,2.5373024,1.532361142,1.265460893,3.046997814,1.402358259,1.352080845,1.857614214,3.330243594,3.00454683,1.708903214,1.868567995,1.351623919,2.821040906,4.268433536,2.227583122,4.91639609,2.577939061,0.453337002,0.679376308
1,4.321916331,2.153165361,1.929466864,1.854164419,2.040678732,3.42170354,1.649480781,2.398932549,2.333759309,1.401159486,3.015353026,2.017146285,1.544018355,1.767902234,3.609710675,2.975942077,2.055061701,2.025353016,1.475907218,4.248620498,4.569391238,2.899398929,5.186123157,4.054937811,3.431371381,3.356947625
1,4.464392434,2.022974152,1.855766251,1.669750373,1.845549864,2.107348582,1.848772827,2.680746579,1.965281127,1.464138392,2.814043418,1.735844772,1.443653657,1.981126004,3.42534273,3.141586227,2.114544642,1.873095428,1.176540883,3.007295206,4.813736808,2.338750474,5.204104961,4.238471119,1.209325337,1.589799979
1,4.031562506,1.785860503,1.622183615,1.395325965,1.484652244,1.93186539,1.496723577,2.868472066,1.717382236,1.415090115,3.099664991,1.35933543,1.559894149,1.941311127,3.294589515,2.932168672,2.094165142,1.765614158,1.531758618,3.938050982,5.241573381,2.126932762,5.224437328,3.309825281,1.945743258,2.317647456
1,4.056085666,1.974178675,1.448689039,1.303228572,1.546193022,3.163600381,1.604552708,2.415649913,1.424436801,1.290427794,3.041615442,1.458067172,1.632749203,1.629447465,3.47351582,2.82755271,1.720873057,2.021538653,1.663393812,3.659272665,4.65174775,2.519137504,4.775597386,3.451679274,1.272842571,1.844942958
1,4.139182334,1.992302139,1.912637178,1.387781791,1.851658108,2.406020436,1.839176113,1.950437532,2.642241593,1.856852582,3.117315612,2.52425805,1.403950172,1.938055596,3.314323558,2.881730254,2.64498304,1.723022327,1.869344191,4.211619633,3.132667109,2.121313389,5.042738834,4.147439767,2.876017553,3.336872712
1,4.301768196,2.098395336,1.765571287,1.542863699,1.898249995,2.803864891,1.849413778,2.669571563,1.726440767,1.497378398,2.841106518,1.976621289,1.255636097,1.618111723,3.328243467,2.95087314,1.970349788,2.018437361,1.803009041,3.680766908,4.731345522,2.405804889,5.064481539,2.918425179,1.067775183,1.388217868
1,4.142156583,1.841789471,1.561120986,1.252847457,1.342831687,3.054572013,1.128264211,2.503793774,1.419069959,1.380612013,3.119948971,1.670165259,1.146185517,1.585799899,3.767340085,2.8200391,1.986495158,1.707663009,1.712999198,3.768710614,5.012910902,2.222316034,4.954475205,3.554073559,1.304663373,1.393479549
1,3.973564658,2.211272343,1.887916611,1.836428708,2.101849314,1.950582923,1.680422061,2.813541239,1.606512483,1.553486282,3.402314431,2.196047041,1.619239379,2.103925364,3.604463379,2.83986619,2.026404402,1.697215957,1.187104256,3.560664877,5.231222309,2.295513953,4.356609589,2.797698572,1.974579194,2.534695302
1,4.746178504,1.99265182,1.7941587,1.427971369,1.727227977,3.728858092,1.452278413,2.686108288,2.48926277,1.35019257,2.982427144,1.827756707,1.54438235,1.868986028,4.015647298,2.855609411,2.285755887,2.048873032,1.670400672,5.28412028,4.223540254,2.580881868,5.227022947,4.083801856,2.277045596,2.332280207
1,3.963826393,1.813555233,1.442590111,1.387724946,1.816921326,2.949923986,1.462524859,2.488505104,1.607290517,1.371822352,2.584451893,1.689246209,1.385302414,1.756828016,3.226536625,3.035255394,2.367420398,1.58155135,1.369362246,3.68553078,4.613797684,2.572701986,4.866916746,2.722441969,1.219372609,1.416469906
1,3.877266164,2.234541111,1.593177032,1.408790164,1.694668304,1.615427884,1.443665077,3.088835825,1.907365277,1.319641938,2.668158897,1.531084716,1.210836678,1.446795027,3.559715608,3.114307405,2.188048563,1.607425632,1.420577794,3.196189303,3.659401045,2.654466441,4.660654871,4.677241137,1.781362433,2.424366581
1,3.860274569,2.090032966,1.651651286,1.308783163,1.638345535,4.389068115,1.433804959,2.75480056,2.137258254,1.358818245,2.672447002,2.652310818,1.916371523,1.781826168,4.102154798,3.048479346,2.504949061,2.034090962,1.70721323,3.65648427,3.731197841,2.307800961,5.525779463,3.947227426,1.572475128,1.948135784
1,3.841843822,1.860932005,1.736417994,1.261057532,1.460483694,1.789192635,1.346872606,3.306900536,2.257504102,1.541211914,2.904298234,2.548158469,1.410026093,1.858001992,3.123930941,2.805126796,2.143758678,1.509202963,1.468918052,2.07937153,4.245529037,2.688113941,4.876671581,1.845239897,1.574731544,2.235348643
1,4.315104343,1.865827538,1.43752863,1.014243665,1.17545875,1.911800059,1.519183224,2.055832465,2.515969956,1.691710263,2.708370998,1.583041699,1.318201285,1.54122347,3.775591619,2.833351448,2.112889083,1.88290864,1.433282152,2.369390838,4.040327442,2.582729216,4.771836486,3.807099795,1.31980979,2.757698984
1,4.065353808,2.101822209,1.795154229,1.440071282,1.704989738,4.199079255,1.561433348,1.672507251,2.442064727,1.532660033,2.683692156,2.036579627,1.666502765,1.831633091,3.855086529,2.978063566,2.330866226,1.547652192,1.464467988,3.438674779,4.376035999,2.537808601,5.105851442,4.344391202,1.336644078,1.495367367
1,4.47715292,2.185056263,1.539607071,1.472806014,1.818851637,2.143966546,1.609855924,2.637023611,2.0693153,1.89613548,2.967587811,1.897426534,1.227902457,1.812640989,3.394984534,3.046799834,2.061478826,1.717238531,1.260968241,3.47696932,3.4316311,2.203782414,5.00454219,3.085279454,1.276307148,2.564474478
1,3.778828129,1.964947098,1.594329751,1.517794953,1.89520028,4.811939478,1.464421373,2.371877679,2.024379905,1.438376158,3.04784298,2.109161864,1.403670176,1.63211682,3.898311937,3.057495678,2.531994753,1.669519382,1.665340162,4.930457385,4.358405562,2.236613644,5.108672117,3.492189413,1.085924233,1.8003922
1,4.302535744,2.683531437,1.709863557,1.168667792,1.393830677,4.926333763,1.477091142,2.32063354,2.351233303,1.827638438,3.212561355,2.212837448,1.843222472,1.820748253,4.032668619,2.668158115,2.677801214,1.960610717,1.688333634,2.673684281,2.810763845,2.546701645,4.838004825,1.728934238,2.144894216,3.513909563
1,5.003882755,2.115439784,1.687532261,1.198625228,1.847956141,3.301041998,1.342947875,2.753954839,2.13001778,1.242552018,3.414039995,1.517724941,1.409312103,1.646572822,3.675471922,2.877230928,1.733795213,1.85110342,2.133083472,3.174730024,3.923672138,2.391163586,4.718478713,3.094367974,1.442642348,1.452940719
1,3.833045803,2.169680293,2.014464116,1.328183628,1.562226061,4.468251199,1.61128709,2.112044191,2.514302742,1.800859489,2.740167027,1.983358181,1.943839167,1.495916575,4.113540134,2.698999272,4.016650878,1.863191667,1.878713212,3.58250002,3.106876365,2.092890016,4.981036564,3.756231483,1.197368107,1.460493107
1,4.750208132,2.325308292,1.584060079,1.683044036,2.086900422,4.320970662,1.654783997,2.693686935,2.549052252,1.843512303,3.176085776,2.009663153,1.497916953,2.039085282,3.809642357,3.062251351,2.786071888,1.757317636,1.601482186,3.754497667,3.365027227,2.439813265,4.68275016,4.056435818,3.314375301,3.536886037
1,4.412486999,2.162536811,1.731335555,1.267278025,1.344250774,4.01291477,1.388499339,2.530249249,1.742184034,1.250964511,2.615580685,2.499963781,1.347250908,1.855485944,3.311886157,2.799999862,2.067778744,1.876140127,1.539800583,3.272839573,3.353980674,2.408124813,4.747508162,3.808195898,1.004666592,1.489258819
1,4.56340613,2.179581259,1.612762763,1.621911052,1.62160736,4.407853038,1.626863092,2.267172461,2.403012216,1.36327867,2.747186352,2.648185768,1.45418152,2.40404747,4.116074707,3.309457941,2.720230426,1.89194087,1.572499264,2.395404204,4.290735285,2.679444296,5.118426952,4.971636126,0.988454151,2.274304525
