,IL5RA,IL5RA_xishu,IL5RA_score,RAB8B,RAB8B_xishu,RAB8B_score,PER3,PER3_xishu,PER3_score,KLF6,KLF6_xishu,KLF6_score,NR4A3,NR4A3_xishu,NR4A3_score,total_score,中位值,total_score-中位值,
GSM2544294,1.858002,-0.96602,-1.79487,4.876672,-1.37122,-6.687,4.245529,0.724906,3.07761,3.123931,0.04956,0.154822,1.468918,-1.37248,-2.01607,-7.2655,-7.89049,0.62499,high
GSM2544295,1.541223,-0.96602,-1.48886,4.771836,-1.37122,-6.54324,4.040327,0.724906,2.928858,3.775592,0.04956,0.187118,1.433282,-1.37248,-1.96716,-6.88328,-7.89049,1.00721,high
GSM2544296,1.831633,-0.96602,-1.7694,5.105851,-1.37122,-7.00125,4.376036,0.724906,3.172216,3.855087,0.04956,0.191058,1.464468,-1.37248,-2.00996,-7.41734,-7.89049,0.47315,high
GSM2544297,1.812641,-0.96602,-1.75105,5.004542,-1.37122,-6.86234,3.431631,0.724906,2.487611,3.394985,0.04956,0.168256,1.260968,-1.37248,-1.73066,-7.68818,-7.89049,0.20231,high
GSM2544298,1.632117,-0.96602,-1.57666,5.108672,-1.37122,-7.00512,4.358406,0.724906,3.159436,3.898312,0.04956,0.1932,1.66534,-1.37248,-2.28565,-7.5148,-7.89049,0.37569,high
GSM2544299,1.820748,-0.96602,-1.75889,4.838005,-1.37122,-6.63398,2.810764,0.724906,2.03754,4.032669,0.04956,0.199859,1.688334,-1.37248,-2.31721,-8.47267,-7.89049,-0.58218,low
GSM2544300,1.646573,-0.96602,-1.59063,4.718479,-1.37122,-6.47008,3.923672,0.724906,2.844294,3.675472,0.04956,0.182157,2.133083,-1.37248,-2.92762,-7.96188,-7.89049,-0.07139,low
GSM2544301,1.495917,-0.96602,-1.44509,4.981037,-1.37122,-6.8301,3.106876,0.724906,2.252194,4.11354,0.04956,0.203867,1.878713,-1.37248,-2.5785,-8.39764,-7.89049,-0.50715,low
GSM2544302,2.039085,-0.96602,-1.9698,4.68275,-1.37122,-6.42109,3.365027,0.724906,2.439329,3.809642,0.04956,0.188806,1.601482,-1.37248,-2.19801,-7.96076,-7.89049,-0.07027,low
GSM2544303,1.855486,-0.96602,-1.79244,4.747508,-1.37122,-6.50988,3.353981,0.724906,2.431322,3.311886,0.04956,0.164137,1.539801,-1.37248,-2.11335,-7.82022,-7.89049,0.07027,high
GSM2544304,2.404047,-0.96602,-2.32237,5.118427,-1.37122,-7.0185,4.290735,0.724906,3.11038,4.116075,0.04956,0.203993,1.572499,-1.37248,-2.15823,-8.18472,-7.89049,-0.29423,low
GSM2544305,1.699464,-0.96602,-1.64172,4.393984,-1.37122,-6.02512,4.280709,0.724906,3.103112,4.455894,0.04956,0.220834,1.72005,-1.37248,-2.36074,-6.70364,-7.89049,1.18685,high
GSM2544306,1.608399,-0.96602,-1.55375,5.213037,-1.37122,-7.14823,3.164532,0.724906,2.293989,4.411851,0.04956,0.218652,1.486807,-1.37248,-2.04062,-8.22996,-7.89049,-0.33947,low
GSM2544307,1.559188,-0.96602,-1.50621,5.107027,-1.37122,-7.00286,4.114385,0.724906,2.982543,3.742739,0.04956,0.18549,1.6988,-1.37248,-2.33157,-7.67262,-7.89049,0.21787,high
GSM2544308,1.924321,-0.96602,-1.85894,5.704187,-1.37122,-7.8217,2.927825,0.724906,2.122398,3.954639,0.04956,0.195992,2.022159,-1.37248,-2.77538,-10.1376,-7.89049,-2.24711,low
GSM2544309,2.32926,-0.96602,-2.25012,5.199521,-1.37122,-7.12969,4.514101,0.724906,3.2723,4.048362,0.04956,0.200637,1.606454,-1.37248,-2.20483,-8.11171,-7.89049,-0.22122,low
GSM2544310,1.868986,-0.96602,-1.80548,4.558523,-1.37122,-6.25074,4.088374,0.724906,2.963688,3.560193,0.04956,0.176443,2.315828,-1.37248,-3.17844,-8.09453,-7.89049,-0.20404,low
GSM2544311,1.427659,-0.96602,-1.37915,4.938139,-1.37122,-6.77128,3.909716,0.724906,2.834177,4.349296,0.04956,0.215551,1.561308,-1.37248,-2.14287,-7.24357,-7.89049,0.64692,high
GSM2544312,1.520464,-0.96602,-1.4688,5.429641,-1.37122,-7.44524,4.390096,0.724906,3.182408,4.410879,0.04956,0.218603,1.573242,-1.37248,-2.15925,-7.67228,-7.89049,0.21821,high
GSM2544313,1.901956,-0.96602,-1.83733,5.266747,-1.37122,-7.22188,4.208472,0.724906,3.050747,3.908985,0.04956,0.193729,2.036226,-1.37248,-2.79469,-8.60942,-7.89049,-0.71893,low
GSM2544314,1.952457,-0.96602,-1.88612,5.012887,-1.37122,-6.87378,3.049036,0.724906,2.210265,3.973985,0.04956,0.196951,2.254943,-1.37248,-3.09487,-9.44755,-7.89049,-1.55706,low
GSM2544315,1.966417,-0.96602,-1.8996,5.001957,-1.37122,-6.85879,4.940755,0.724906,3.581584,3.418168,0.04956,0.169405,1.364346,-1.37248,-1.87254,-6.87995,-7.89049,1.01054,high
