"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
-1.51534497171813,9.10741277327525,-11.1993144082722,3.52871947553667e-19,5.3989407975711e-16,33.1410101032424,"FOS"
0.240989885787487,9.09010574794632,9.84696600609614,2.86488947409596e-16,2.19164044768341e-13,26.5235067808616,"EZH2"
0.732285301377759,9.36510277032613,9.6284856624858,8.49367844096199e-16,3.86898351891741e-13,25.4879986566649,"COL1A2"
-0.597261839615218,9.98931923327174,-9.59336766122549,1.01149895919409e-15,3.86898351891741e-13,25.3358633444031,"LOX"
0.283055485903093,9.15039883731823,9.40669884328261,2.55974053985673e-15,7.8328060519616e-13,24.3947456011071,"TNXB"
0.130302388714615,10.0998152687755,9.22594860604427,6.28712665820571e-15,1.38348223718135e-12,23.5367150115016,"DICER1"
0.385880181318944,9.21138783957835,9.22459198900647,6.32965729429375e-15,1.38348223718135e-12,23.518133748413,"IL33"
-0.312796746013532,10.1001735647845,-8.93908593647729,2.61258182547425e-14,4.9965627412195e-12,22.1388314906402,"CDKN1B"
0.37858545027979,9.1072982883751,8.75783614230622,6.41536637370386e-14,1.09061228352966e-11,21.2747654529741,"HGF"
-0.335792123576708,9.49534256581968,-8.66415006210825,1.02000789392972e-13,1.56061207771247e-11,20.825112997576,"BMP7"
0.453907142902999,9.43233438791094,8.57691723710533,1.57004843693782e-13,2.18379464410442e-11,20.4045325032447,"MMP2"
0.319150041495503,9.14510702690642,8.54958776506816,1.79701950357288e-13,2.29119986705542e-11,20.2730306484702,"COL1A1"
0.532193137583292,9.40901935747254,8.52215160286465,2.05778356022537e-13,2.42185295934217e-11,20.14344708027,"TGFBI"
0.322013885312584,9.2561780762217,8.45813020325865,2.82246596404184e-13,3.0845520892743e-11,19.832793187329,"EDN1"
0.184516779584536,9.21011533497328,8.359373691844,4.5925478295921e-13,4.68439878618394e-11,19.3595459308998,"ELN"
-0.374710001650206,9.44807763667573,-8.27541812856392,6.94265154586584e-13,6.63891054073421e-11,18.9626404533055,"JUN"
0.323363900064189,9.25250440387714,8.12954672956499,1.42138889518178e-12,1.2792500056636e-10,18.2662122111031,"CD27"
0.208892548809601,9.58983602009639,8.11768396248233,1.50654279163375e-12,1.28056137288869e-10,18.2109747328293,"FLNB"
-0.771286223496986,9.39119103405432,-8.08031417101957,1.80943160843077e-12,1.45706861099951e-10,18.0283936042568,"S100A8"
-0.51993784359556,9.49432797361564,-8.01084602359466,2.54258576716144e-12,1.9450781118785e-10,17.7019246606727,"WT1-AS"
-0.76031372433069,9.41452758727083,-7.96514993703513,3.1793102897497e-12,2.31635463967478e-10,17.4797175220141,"LPL"
0.313849814674146,9.13185224296,7.93000085930477,3.77503071853571e-12,2.6253622724362e-10,17.3198617291016,"LAMC2"
0.302999461478182,9.39113357084717,7.90255955016696,4.31628010994687e-12,2.83353576915346e-10,17.1898676290171,"ANGPT2"
-0.538776383954836,10.0241349492399,-7.8965496672297,4.44476199082895e-12,2.83353576915346e-10,17.1193990646121,"S100A9"
-0.737462328878566,9.24691572010727,-7.8836454336168,4.7336362398969e-12,2.8969853788169e-10,17.0952296040121,"PTGS2"
0.153111028364251,10.1346870678216,7.86737348184756,5.12467035965212e-12,2.98813362539892e-10,16.9566487208046,"ADAM10"
0.202463602859801,9.88533404235908,7.86151549983202,5.2731769859981e-12,2.98813362539892e-10,16.9653448012482,"CASP3"
0.179515326530021,9.34078415125958,7.8377352756448,5.92130349061438e-12,3.23556940737143e-10,16.8834126765861,"CACNA1C"
0.135234378017186,8.87538588392685,7.8218349892857,6.39827862290045e-12,3.37564354932334e-10,16.7980485771057,"ESR2"
0.598326977352745,9.24738744863934,7.7523942340978,8.97105999841176e-12,4.57524059919e-10,16.4785338380081,"THBS2"
0.334606235124292,9.36390274445881,7.71631660992937,1.06904895648607e-11,5.27627388201188e-10,16.3114898099075,"GFRA1"
0.218857074091634,9.42356698160632,7.69848855900217,1.16574161572944e-11,5.54991044803485e-10,16.2276793687718,"PDE5A"
0.315209873394018,9.33418233223296,7.69303184624581,1.19703950839967e-11,5.54991044803485e-10,16.2020514453795,"CPE"
-0.335248452318918,9.49643351744614,-7.66297443668485,1.38502404560875e-11,6.09979152374874e-10,16.0581411697189,"CKB"
0.268321964406203,9.45177442858453,7.66143917125542,1.39537714595559e-11,6.09979152374874e-10,16.0532163819188,"SETBP1"
0.294787431669056,9.20890111640223,7.59647037954659,1.91174367593299e-11,8.07784647607425e-10,15.7483081094355,"MSR1"
0.570506419563809,9.32718179679973,7.59201094721141,1.95346614127286e-11,8.07784647607425e-10,15.724278476218,"SERPINF1"
0.706664507847478,9.95809203453278,7.55022936243026,2.39107963098921e-11,9.62724167214077e-10,15.4981768112107,"FN1"
0.202370900997076,9.39212534130885,7.50194958356474,3.01924013841609e-11,1.18447113122477e-09,15.3067263995323,"ITPR3"
0.298793705761502,9.51242848998492,7.45056135889739,3.86862227910302e-11,1.47974802175691e-09,15.063404321915,"IGFBP3"
-0.159131025218255,9.881953770822,-7.38922820521731,5.19776452272653e-11,1.93965359018819e-09,14.7289548197844,"BBS1"
-0.435713553351103,9.63014648160234,-7.33124622776387,6.86796058711529e-11,2.50189992816343e-09,14.4938755392112,"FOXC1"
0.458226393846861,9.15297168933465,7.32346995184067,7.12917054565948e-11,2.53665835694396e-09,14.4692736953143,"SFRP4"
0.123755196122378,10.143792803815,7.28440712772473,8.59818331595084e-11,2.98982283486472e-09,14.1926622564797,"PTEN"
